Date/Time,Market Price,Competitor Data,Market Trends,Market Demand
2012-01-01,0.16789093429017068,High,Upward,13518
2012-01-02,0.15176152382348573,Medium,Upward,2115
2012-01-03,0.24144285249351805,High,Stable,22353
2012-01-04,0.07110358998557226,Low,Downward,25482
2012-01-05,0.10728124193925118,High,Stable,20264
2012-01-06,0.15600615132266804,Low,Upward,42504
2012-01-07,0.22095202938595343,Low,Upward,32219
2012-01-08,0.23445667543201817,Medium,Upward,14567
2012-01-09,0.10392799278207168,High,Stable,7266
2012-01-10,0.04476386153579736,Medium,Downward,31828
2012-01-11,0.12275633354288072,Medium,Upward,48753
2012-01-12,0.11675571151137155,Medium,Downward,38658
2012-01-13,0.2470271549445317,Low,Upward,5040
2012-01-14,0.12483347374397367,Low,Downward,32259
2012-01-15,0.09725905984671047,Low,Stable,26196
2012-01-16,0.11038302239768548,Low,Upward,17595
2012-01-17,0.11732378173723905,High,Upward,25489
2012-01-18,0.2107388840832555,High,Upward,15710
2012-01-19,0.04782327642287812,Low,Stable,3246
2012-01-20,0.09963155075250586,Low,Stable,4146
2012-01-21,0.24259006821956192,High,Downward,45979
2012-01-22,0.06368255105573599,Medium,Stable,41317
2012-01-23,0.1933722907371698,Medium,Upward,4942
2012-01-24,0.10840657026362388,Low,Downward,16870
2012-01-25,0.15799281576279559,Medium,Stable,47755
2012-01-26,0.05190056847195405,Low,Downward,7887
2012-01-27,0.09741056681786824,Low,Downward,24552
2012-01-28,0.14019028716539542,Low,Downward,16435
2012-01-29,0.08097414479868884,High,Upward,23018
2012-01-30,0.1492113874716935,Medium,Upward,32673
2012-01-31,0.07834704909379758,High,Stable,49375
2012-02-01,0.17302212158312186,Medium,Upward,43765
2012-02-02,0.22895795485506915,High,Downward,45839
2012-02-03,0.048807500217345715,High,Downward,15524
2012-02-04,0.077655527870739,Low,Upward,32151
2012-02-05,0.21577306599727258,Low,Downward,32233
2012-02-06,0.16894176679723066,High,Upward,10061
2012-02-07,0.04731596177136435,Medium,Downward,14279
2012-02-08,0.13699702532408897,Medium,Stable,16604
2012-02-09,0.0761468733024937,Low,Stable,28045
2012-02-10,0.07380120669541534,Low,Upward,45901
2012-02-11,0.23694197553931523,Medium,Upward,13627
2012-02-12,0.19753914057674396,Medium,Upward,43168
2012-02-13,0.18317073057531164,Medium,Upward,45500
2012-02-14,0.0825643397571289,Low,Upward,12840
2012-02-15,0.056086155269009105,Medium,Downward,20277
2012-02-16,0.22158317668277702,Low,Stable,16927
2012-02-17,0.0312935052553392,High,Downward,21982
2012-02-18,0.11538121321422432,High,Stable,26849
2012-02-19,0.09107475065149338,High,Downward,25327
2012-02-20,0.1554827640767412,Medium,Downward,13273
2012-02-21,0.08511185589488363,Low,Downward,17509
2012-02-22,0.09846517905222775,Medium,Upward,34774
2012-02-23,0.21700876809850259,Low,Stable,43264
2012-02-24,0.16270154114899413,Medium,Upward,14514
2012-02-25,0.06205015601246104,High,Upward,35008
